delivery_id,supplier_id,order_id,expected_date,actual_date,delay_days,on_time,delivery_score,month
DEL_SUP000001_24,SUP000001,ORD_SUP000001_24,2022-12-15,2022-12-15,0,True,100,Month_24
DEL_SUP000001_25,SUP000001,ORD_SUP000001_25,2023-01-15,2023-01-15,0,True,100,Month_25
DEL_SUP000001_26,SUP000001,ORD_SUP000001_26,2023-02-15,2023-02-15,0,True,100,Month_26
DEL_SUP000001_27,SUP000001,ORD_SUP000001_27,2023-03-15,2023-03-15,0,True,100,Month_27
DEL_SUP000001_28,SUP000001,ORD_SUP000001_28,2023-04-15,2023-04-15,0,True,100,Month_28
DEL_SUP000001_29,SUP000001,ORD_SUP000001_29,2023-05-15,2023-05-15,0,True,100,Month_29
DEL_SUP000001_30,SUP000001,ORD_SUP000001_30,2023-06-15,2023-06-15,0,True,100,Month_30
DEL_SUP000001_31,SUP000001,ORD_SUP000001_31,2023-07-15,2023-07-15,0,True,100,Month_31
DEL_SUP000001_32,SUP000001,ORD_SUP000001_32,2023-08-15,2023-08-15,0,True,100,Month_32
DEL_SUP000001_33,SUP000001,ORD_SUP000001_33,2023-09-15,2023-09-15,0,True,100,Month_33
DEL_SUP000001_34,SUP000001,ORD_SUP000001_34,2023-10-15,2023-10-19,4,False,80,Month_34
DEL_SUP000001_35,SUP000001,ORD_SUP000001_35,2023-11-15,2023-11-20,5,False,75,Month_35
DEL_SUP000001_36,SUP000001,ORD_SUP000001_36,2023-12-15,2023-12-15,0,True,100,Month_36
DEL_SUP000001_37,SUP000001,ORD_SUP000001_37,2024-01-15,2024-01-15,0,True,100,Month_37
DEL_SUP000001_38,SUP000001,ORD_SUP000001_38,2024-02-15,2024-02-15,0,True,100,Month_38
DEL_SUP000001_39,SUP000001,ORD_SUP000001_39,2024-03-15,2024-03-22,7,False,65,Month_39
DEL_SUP000001_40,SUP000001,ORD_SUP000001_40,2024-04-15,2024-04-15,0,True,100,Month_40
DEL_SUP000001_41,SUP000001,ORD_SUP000001_41,2024-05-15,2024-05-27,12,False,40,Month_41
DEL_SUP000001_42,SUP000001,ORD_SUP000001_42,2024-06-15,2024-06-25,10,False,50,Month_42
DEL_SUP000001_43,SUP000001,ORD_SUP000001_43,2024-07-15,2024-07-20,5,False,75,Month_43
DEL_SUP000001_44,SUP000001,ORD_SUP000001_44,2024-08-15,2024-08-15,0,True,100,Month_44
DEL_SUP000001_45,SUP000001,ORD_SUP000001_45,2024-09-15,2024-09-15,0,True,100,Month_45
DEL_SUP000001_46,SUP000001,ORD_SUP000001_46,2024-10-15,2024-10-15,0,True,100,Month_46
DEL_SUP000001_47,SUP000001,ORD_SUP000001_47,2024-11-15,2024-11-15,0,True,100,Month_47
DEL_SUP000001_48,SUP000001,ORD_SUP000001_48,2024-12-15,2024-12-28,13,False,35,Month_48
DEL_SUP000001_49,SUP000001,ORD_SUP000001_49,2025-01-15,2025-01-15,0,True,100,Month_49
DEL_SUP000001_50,SUP000001,ORD_SUP000001_50,2025-02-15,2025-02-15,0,True,100,Month_50
DEL_SUP000001_51,SUP000001,ORD_SUP000001_51,2025-03-15,2025-03-15,0,True,100,Month_51
DEL_SUP000001_52,SUP000001,ORD_SUP000001_52,2025-04-15,2025-04-15,0,True,100,Month_52
DEL_SUP000001_53,SUP000001,ORD_SUP000001_53,2025-05-15,2025-05-15,0,True,100,Month_53
DEL_SUP000001_54,SUP000001,ORD_SUP000001_54,2025-06-15,2025-06-15,0,True,100,Month_54
DEL_SUP000001_55,SUP000001,ORD_SUP000001_55,2025-07-15,2025-07-15,0,True,100,Month_55
DEL_SUP000001_56,SUP000001,ORD_SUP000001_56,2025-08-15,2025-08-29,14,False,30,Month_56
DEL_SUP000001_57,SUP000001,ORD_SUP000001_57,2025-09-15,2025-09-15,0,True,100,Month_57
DEL_SUP000001_58,SUP000001,ORD_SUP000001_58,2025-10-15,2025-10-15,0,True,100,Month_58
DEL_SUP000001_59,SUP000001,ORD_SUP000001_59,2025-11-15,2025-11-15,0,True,100,Month_59
DEL_SUP000001_60,SUP000001,ORD_SUP000001_60,2025-12-15,2025-12-15,0,True,100,Month_60
DEL_SUP000002_01,SUP000002,ORD_SUP000002_01,2021-01-15,2021-01-15,0,True,100,Month_01
DEL_SUP000002_02,SUP000002,ORD_SUP000002_02,2021-02-15,2021-02-15,0,True,100,Month_02
DEL_SUP000002_03,SUP000002,ORD_SUP000002_03,2021-03-15,2021-03-15,0,True,100,Month_03
DEL_SUP000002_04,SUP000002,ORD_SUP000002_04,2021-04-15,2021-04-15,0,True,100,Month_04
DEL_SUP000002_05,SUP000002,ORD_SUP000002_05,2021-05-15,2021-05-15,0,True,100,Month_05
DEL_SUP000002_06,SUP000002,ORD_SUP000002_06,2021-06-15,2021-06-15,0,True,100,Month_06
DEL_SUP000002_07,SUP000002,ORD_SUP000002_07,2021-07-15,2021-07-15,0,True,100,Month_07
DEL_SUP000002_08,SUP000002,ORD_SUP000002_08,2021-08-15,2021-08-15,0,True,100,Month_08
DEL_SUP000002_09,SUP000002,ORD_SUP000002_09,2021-09-15,2021-09-15,0,True,100,Month_09
DEL_SUP000002_10,SUP000002,ORD_SUP000002_10,2021-10-15,2021-10-15,0,True,100,Month_10
DEL_SUP000002_11,SUP000002,ORD_SUP000002_11,2021-11-15,2021-11-15,0,True,100,Month_11
DEL_SUP000002_12,SUP000002,ORD_SUP000002_12,2021-12-15,2021-12-15,0,True,100,Month_12
DEL_SUP000002_13,SUP000002,ORD_SUP000002_13,2022-01-15,2022-01-15,0,True,100,Month_13
DEL_SUP000002_14,SUP000002,ORD_SUP000002_14,2022-02-15,2022-02-15,0,True,100,Month_14
DEL_SUP000002_15,SUP000002,ORD_SUP000002_15,2022-03-15,2022-03-16,1,False,95,Month_15
DEL_SUP000002_16,SUP000002,ORD_SUP000002_16,2022-04-15,2022-04-15,0,True,100,Month_16
DEL_SUP000002_17,SUP000002,ORD_SUP000002_17,2022-05-15,2022-05-15,0,True,100,Month_17
DEL_SUP000002_18,SUP000002,ORD_SUP000002_18,2022-06-15,2022-06-15,0,True,100,Month_18
DEL_SUP000002_19,SUP000002,ORD_SUP000002_19,2022-07-15,2022-07-15,0,True,100,Month_19
DEL_SUP000002_20,SUP000002,ORD_SUP000002_20,2022-08-15,2022-08-15,0,True,100,Month_20
DEL_SUP000002_21,SUP000002,ORD_SUP000002_21,2022-09-15,2022-09-15,0,True,100,Month_21
DEL_SUP000002_22,SUP000002,ORD_SUP000002_22,2022-10-15,2022-10-15,0,True,100,Month_22
DEL_SUP000002_23,SUP000002,ORD_SUP000002_23,2022-11-15,2022-11-15,0,True,100,Month_23
DEL_SUP000002_24,SUP000002,ORD_SUP000002_24,2022-12-15,2022-12-15,0,True,100,Month_24
DEL_SUP000002_25,SUP000002,ORD_SUP000002_25,2023-01-15,2023-01-15,0,True,100,Month_25
DEL_SUP000002_26,SUP000002,ORD_SUP000002_26,2023-02-15,2023-02-15,0,True,100,Month_26
DEL_SUP000002_27,SUP000002,ORD_SUP000002_27,2023-03-15,2023-03-15,0,True,100,Month_27
DEL_SUP000002_28,SUP000002,ORD_SUP000002_28,2023-04-15,2023-04-15,0,True,100,Month_28
DEL_SUP000002_29,SUP000002,ORD_SUP000002_29,2023-05-15,2023-05-15,0,True,100,Month_29
DEL_SUP000002_30,SUP000002,ORD_SUP000002_30,2023-06-15,2023-06-15,0,True,100,Month_30
DEL_SUP000002_31,SUP000002,ORD_SUP000002_31,2023-07-15,2023-07-15,0,True,100,Month_31
DEL_SUP000002_32,SUP000002,ORD_SUP000002_32,2023-08-15,2023-08-15,0,True,100,Month_32
DEL_SUP000002_33,SUP000002,ORD_SUP000002_33,2023-09-15,2023-09-15,0,True,100,Month_33
DEL_SUP000002_34,SUP000002,ORD_SUP000002_34,2023-10-15,2023-10-15,0,True,100,Month_34
DEL_SUP000002_35,SUP000002,ORD_SUP000002_35,2023-11-15,2023-11-15,0,True,100,Month_35
DEL_SUP000002_36,SUP000002,ORD_SUP000002_36,2023-12-15,2023-12-15,0,True,100,Month_36
DEL_SUP000002_37,SUP000002,ORD_SUP000002_37,2024-01-15,2024-01-15,0,True,100,Month_37
DEL_SUP000002_38,SUP000002,ORD_SUP000002_38,2024-02-15,2024-02-15,0,True,100,Month_38
DEL_SUP000002_39,SUP000002,ORD_SUP000002_39,2024-03-15,2024-03-15,0,True,100,Month_39
DEL_SUP000002_40,SUP000002,ORD_SUP000002_40,2024-04-15,2024-04-15,0,True,100,Month_40
DEL_SUP000002_41,SUP000002,ORD_SUP000002_41,2024-05-15,2024-05-15,0,True,100,Month_41
DEL_SUP000002_42,SUP000002,ORD_SUP000002_42,2024-06-15,2024-06-15,0,True,100,Month_42
DEL_SUP000002_43,SUP000002,ORD_SUP000002_43,2024-07-15,2024-07-15,0,True,100,Month_43
DEL_SUP000002_44,SUP000002,ORD_SUP000002_44,2024-08-15,2024-08-15,0,True,100,Month_44
DEL_SUP000002_45,SUP000002,ORD_SUP000002_45,2024-09-15,2024-09-15,0,True,100,Month_45
DEL_SUP000002_46,SUP000002,ORD_SUP000002_46,2024-10-15,2024-10-15,0,True,100,Month_46
DEL_SUP000002_47,SUP000002,ORD_SUP000002_47,2024-11-15,2024-11-15,0,True,100,Month_47
DEL_SUP000002_48,SUP000002,ORD_SUP000002_48,2024-12-15,2024-12-15,0,True,100,Month_48
DEL_SUP000002_49,SUP000002,ORD_SUP000002_49,2025-01-15,2025-01-15,0,True,100,Month_49
DEL_SUP000002_50,SUP000002,ORD_SUP000002_50,2025-02-15,2025-02-15,0,True,100,Month_50
DEL_SUP000002_51,SUP000002,ORD_SUP000002_51,2025-03-15,2025-03-15,0,True,100,Month_51
DEL_SUP000002_52,SUP000002,ORD_SUP000002_52,2025-04-15,2025-04-15,0,True,100,Month_52
DEL_SUP000002_53,SUP000002,ORD_SUP000002_53,2025-05-15,2025-05-15,0,True,100,Month_53
DEL_SUP000002_54,SUP000002,ORD_SUP000002_54,2025-06-15,2025-06-15,0,True,100,Month_54
DEL_SUP000002_55,SUP000002,ORD_SUP000002_55,2025-07-15,2025-07-15,0,True,100,Month_55
DEL_SUP000002_56,SUP000002,ORD_SUP000002_56,2025-08-15,2025-08-15,0,True,100,Month_56
DEL_SUP000002_57,SUP000002,ORD_SUP000002_57,2025-09-15,2025-09-15,0,True,100,Month_57
DEL_SUP000002_58,SUP000002,ORD_SUP000002_58,2025-10-15,2025-10-15,0,True,100,Month_58
DEL_SUP000002_59,SUP000002,ORD_SUP000002_59,2025-11-15,2025-11-15,0,True,100,Month_59
DEL_SUP000002_60,SUP000002,ORD_SUP000002_60,2025-12-15,2025-12-15,0,True,100,Month_60
DEL_SUP000003_01,SUP000003,ORD_SUP000003_01,2021-01-15,2021-01-15,0,True,100,Month_01
DEL_SUP000003_02,SUP000003,ORD_SUP000003_02,2021-02-15,2021-02-15,0,True,100,Month_02
DEL_SUP000003_03,SUP000003,ORD_SUP000003_03,2021-03-15,2021-03-15,0,True,100,Month_03
DEL_SUP000003_04,SUP000003,ORD_SUP000003_04,2021-04-15,2021-04-15,0,True,100,Month_04
DEL_SUP000003_05,SUP000003,ORD_SUP000003_05,2021-05-15,2021-05-15,0,True,100,Month_05
DEL_SUP000003_06,SUP000003,ORD_SUP000003_06,2021-06-15,2021-06-15,0,True,100,Month_06
DEL_SUP000003_07,SUP000003,ORD_SUP000003_07,2021-07-15,2021-07-15,0,True,100,Month_07
DEL_SUP000003_08,SUP000003,ORD_SUP000003_08,2021-08-15,2021-08-15,0,True,100,Month_08
DEL_SUP000003_09,SUP000003,ORD_SUP000003_09,2021-09-15,2021-09-15,0,True,100,Month_09
DEL_SUP000003_10,SUP000003,ORD_SUP000003_10,2021-10-15,2021-10-15,0,True,100,Month_10
DEL_SUP000003_11,SUP000003,ORD_SUP000003_11,2021-11-15,2021-11-16,1,False,95,Month_11
DEL_SUP000003_12,SUP000003,ORD_SUP000003_12,2021-12-15,2021-12-15,0,True,100,Month_12
DEL_SUP000003_13,SUP000003,ORD_SUP000003_13,2022-01-15,2022-01-15,0,True,100,Month_13
DEL_SUP000003_14,SUP000003,ORD_SUP000003_14,2022-02-15,2022-02-15,0,True,100,Month_14
DEL_SUP000003_15,SUP000003,ORD_SUP000003_15,2022-03-15,2022-03-15,0,True,100,Month_15
DEL_SUP000003_16,SUP000003,ORD_SUP000003_16,2022-04-15,2022-04-15,0,True,100,Month_16
DEL_SUP000003_17,SUP000003,ORD_SUP000003_17,2022-05-15,2022-05-15,0,True,100,Month_17
DEL_SUP000003_18,SUP000003,ORD_SUP000003_18,2022-06-15,2022-06-15,0,True,100,Month_18
DEL_SUP000003_19,SUP000003,ORD_SUP000003_19,2022-07-15,2022-07-15,0,True,100,Month_19
DEL_SUP000003_20,SUP000003,ORD_SUP000003_20,2022-08-15,2022-08-15,0,True,100,Month_20
DEL_SUP000003_21,SUP000003,ORD_SUP000003_21,2022-09-15,2022-09-15,0,True,100,Month_21
DEL_SUP000003_22,SUP000003,ORD_SUP000003_22,2022-10-15,2022-10-15,0,True,100,Month_22
DEL_SUP000003_23,SUP000003,ORD_SUP000003_23,2022-11-15,2022-11-15,0,True,100,Month_23
DEL_SUP000003_24,SUP000003,ORD_SUP000003_24,2022-12-15,2022-12-15,0,True,100,Month_24
DEL_SUP000003_25,SUP000003,ORD_SUP000003_25,2023-01-15,2023-01-15,0,True,100,Month_25
DEL_SUP000003_26,SUP000003,ORD_SUP000003_26,2023-02-15,2023-02-15,0,True,100,Month_26
DEL_SUP000003_27,SUP000003,ORD_SUP000003_27,2023-03-15,2023-03-15,0,True,100,Month_27
DEL_SUP000003_28,SUP000003,ORD_SUP000003_28,2023-04-15,2023-04-15,0,True,100,Month_28
DEL_SUP000003_29,SUP000003,ORD_SUP000003_29,2023-05-15,2023-05-15,0,True,100,Month_29
DEL_SUP000003_30,SUP000003,ORD_SUP000003_30,2023-06-15,2023-06-15,0,True,100,Month_30
DEL_SUP000003_31,SUP000003,ORD_SUP000003_31,2023-07-15,2023-07-15,0,True,100,Month_31
DEL_SUP000003_32,SUP000003,ORD_SUP000003_32,2023-08-15,2023-08-15,0,True,100,Month_32
DEL_SUP000003_33,SUP000003,ORD_SUP000003_33,2023-09-15,2023-09-15,0,True,100,Month_33
DEL_SUP000003_34,SUP000003,ORD_SUP000003_34,2023-10-15,2023-10-15,0,True,100,Month_34
DEL_SUP000003_35,SUP000003,ORD_SUP000003_35,2023-11-15,2023-11-15,0,True,100,Month_35
DEL_SUP000003_36,SUP000003,ORD_SUP000003_36,2023-12-15,2023-12-15,0,True,100,Month_36
DEL_SUP000003_37,SUP000003,ORD_SUP000003_37,2024-01-15,2024-01-15,0,True,100,Month_37
DEL_SUP000003_38,SUP000003,ORD_SUP000003_38,2024-02-15,2024-02-15,0,True,100,Month_38
DEL_SUP000003_39,SUP000003,ORD_SUP000003_39,2024-03-15,2024-03-15,0,True,100,Month_39
DEL_SUP000003_40,SUP000003,ORD_SUP000003_40,2024-04-15,2024-04-15,0,True,100,Month_40
DEL_SUP000003_41,SUP000003,ORD_SUP000003_41,2024-05-15,2024-05-15,0,True,100,Month_41
DEL_SUP000003_42,SUP000003,ORD_SUP000003_42,2024-06-15,2024-06-15,0,True,100,Month_42
DEL_SUP000003_43,SUP000003,ORD_SUP000003_43,2024-07-15,2024-07-15,0,True,100,Month_43
DEL_SUP000003_44,SUP000003,ORD_SUP000003_44,2024-08-15,2024-08-15,0,True,100,Month_44
DEL_SUP000003_45,SUP000003,ORD_SUP000003_45,2024-09-15,2024-09-15,0,True,100,Month_45
DEL_SUP000003_46,SUP000003,ORD_SUP000003_46,2024-10-15,2024-10-15,0,True,100,Month_46
DEL_SUP000003_47,SUP000003,ORD_SUP000003_47,2024-11-15,2024-11-15,0,True,100,Month_47
DEL_SUP000003_48,SUP000003,ORD_SUP000003_48,2024-12-15,2024-12-15,0,True,100,Month_48
DEL_SUP000003_49,SUP000003,ORD_SUP000003_49,2025-01-15,2025-01-15,0,True,100,Month_49
DEL_SUP000003_50,SUP000003,ORD_SUP000003_50,2025-02-15,2025-02-15,0,True,100,Month_50
DEL_SUP000003_51,SUP000003,ORD_SUP000003_51,2025-03-15,2025-03-15,0,True,100,Month_51
DEL_SUP000003_52,SUP000003,ORD_SUP000003_52,2025-04-15,2025-04-15,0,True,100,Month_52
DEL_SUP000003_53,SUP000003,ORD_SUP000003_53,2025-05-15,2025-05-15,0,True,100,Month_53
DEL_SUP000003_54,SUP000003,ORD_SUP000003_54,2025-06-15,2025-06-15,0,True,100,Month_54
DEL_SUP000003_55,SUP000003,ORD_SUP000003_55,2025-07-15,2025-07-15,0,True,100,Month_55
DEL_SUP000003_56,SUP000003,ORD_SUP000003_56,2025-08-15,2025-08-15,0,True,100,Month_56
DEL_SUP000003_57,SUP000003,ORD_SUP000003_57,2025-09-15,2025-09-15,0,True,100,Month_57
DEL_SUP000003_58,SUP000003,ORD_SUP000003_58,2025-10-15,2025-10-15,0,True,100,Month_58
DEL_SUP000003_59,SUP000003,ORD_SUP000003_59,2025-11-15,2025-11-15,0,True,100,Month_59
DEL_SUP000003_60,SUP000003,ORD_SUP000003_60,2025-12-15,2025-12-15,0,True,100,Month_60
DEL_SUP000004_01,SUP000004,ORD_SUP000004_01,2021-01-15,2021-01-15,0,True,100,Month_01
DEL_SUP000004_02,SUP000004,ORD_SUP000004_02,2021-02-15,2021-02-15,0,True,100,Month_02
DEL_SUP000004_03,SUP000004,ORD_SUP000004_03,2021-03-15,2021-03-15,0,True,100,Month_03
DEL_SUP000004_04,SUP000004,ORD_SUP000004_04,2021-04-15,2021-04-17,2,False,90,Month_04
DEL_SUP000004_05,SUP000004,ORD_SUP000004_05,2021-05-15,2021-05-15,0,True,100,Month_05
DEL_SUP000004_06,SUP000004,ORD_SUP000004_06,2021-06-15,2021-06-15,0,True,100,Month_06
DEL_SUP000004_07,SUP000004,ORD_SUP000004_07,2021-07-15,2021-07-15,0,True,100,Month_07
DEL_SUP000004_08,SUP000004,ORD_SUP000004_08,2021-08-15,2021-08-15,0,True,100,Month_08
DEL_SUP000004_09,SUP000004,ORD_SUP000004_09,2021-09-15,2021-09-15,0,True,100,Month_09
DEL_SUP000004_10,SUP000004,ORD_SUP000004_10,2021-10-15,2021-10-15,0,True,100,Month_10
DEL_SUP000004_11,SUP000004,ORD_SUP000004_11,2021-11-15,2021-11-15,0,True,100,Month_11
DEL_SUP000004_12,SUP000004,ORD_SUP000004_12,2021-12-15,2021-12-15,0,True,100,Month_12
DEL_SUP000004_13,SUP000004,ORD_SUP000004_13,2022-01-15,2022-01-15,0,True,100,Month_13
DEL_SUP000004_14,SUP000004,ORD_SUP000004_14,2022-02-15,2022-02-15,0,True,100,Month_14
DEL_SUP000004_15,SUP000004,ORD_SUP000004_15,2022-03-15,2022-03-15,0,True,100,Month_15
DEL_SUP000004_16,SUP000004,ORD_SUP000004_16,2022-04-15,2022-04-15,0,True,100,Month_16
DEL_SUP000004_17,SUP000004,ORD_SUP000004_17,2022-05-15,2022-05-15,0,True,100,Month_17
DEL_SUP000004_18,SUP000004,ORD_SUP000004_18,2022-06-15,2022-06-15,0,True,100,Month_18
DEL_SUP000004_19,SUP000004,ORD_SUP000004_19,2022-07-15,2022-07-15,0,True,100,Month_19
DEL_SUP000004_20,SUP000004,ORD_SUP000004_20,2022-08-15,2022-08-15,0,True,100,Month_20
DEL_SUP000004_21,SUP000004,ORD_SUP000004_21,2022-09-15,2022-09-15,0,True,100,Month_21
DEL_SUP000004_22,SUP000004,ORD_SUP000004_22,2022-10-15,2022-10-15,0,True,100,Month_22
DEL_SUP000004_23,SUP000004,ORD_SUP000004_23,2022-11-15,2022-11-15,0,True,100,Month_23
DEL_SUP000004_24,SUP000004,ORD_SUP000004_24,2022-12-15,2022-12-15,0,True,100,Month_24
DEL_SUP000004_25,SUP000004,ORD_SUP000004_25,2023-01-15,2023-01-15,0,True,100,Month_25
DEL_SUP000004_26,SUP000004,ORD_SUP000004_26,2023-02-15,2023-02-15,0,True,100,Month_26
DEL_SUP000004_27,SUP000004,ORD_SUP000004_27,2023-03-15,2023-03-15,0,True,100,Month_27
DEL_SUP000004_28,SUP000004,ORD_SUP000004_28,2023-04-15,2023-04-15,0,True,100,Month_28
DEL_SUP000004_29,SUP000004,ORD_SUP000004_29,2023-05-15,2023-05-15,0,True,100,Month_29
DEL_SUP000004_30,SUP000004,ORD_SUP000004_30,2023-06-15,2023-06-15,0,True,100,Month_30
DEL_SUP000004_31,SUP000004,ORD_SUP000004_31,2023-07-15,2023-07-15,0,True,100,Month_31
DEL_SUP000004_32,SUP000004,ORD_SUP000004_32,2023-08-15,2023-08-18,3,False,85,Month_32
DEL_SUP000004_33,SUP000004,ORD_SUP000004_33,2023-09-15,2023-09-15,0,True,100,Month_33
DEL_SUP000004_34,SUP000004,ORD_SUP000004_34,2023-10-15,2023-10-15,0,True,100,Month_34
DEL_SUP000004_35,SUP000004,ORD_SUP000004_35,2023-11-15,2023-11-15,0,True,100,Month_35
DEL_SUP000004_36,SUP000004,ORD_SUP000004_36,2023-12-15,2023-12-15,0,True,100,Month_36
DEL_SUP000004_37,SUP000004,ORD_SUP000004_37,2024-01-15,2024-01-15,0,True,100,Month_37
DEL_SUP000004_38,SUP000004,ORD_SUP000004_38,2024-02-15,2024-02-15,0,True,100,Month_38
DEL_SUP000004_39,SUP000004,ORD_SUP000004_39,2024-03-15,2024-03-15,0,True,100,Month_39
DEL_SUP000004_40,SUP000004,ORD_SUP000004_40,2024-04-15,2024-04-15,0,True,100,Month_40
DEL_SUP000004_41,SUP000004,ORD_SUP000004_41,2024-05-15,2024-05-15,0,True,100,Month_41
DEL_SUP000004_42,SUP000004,ORD_SUP000004_42,2024-06-15,2024-06-15,0,True,100,Month_42
DEL_SUP000004_43,SUP000004,ORD_SUP000004_43,2024-07-15,2024-07-15,0,True,100,Month_43
DEL_SUP000004_44,SUP000004,ORD_SUP000004_44,2024-08-15,2024-08-15,0,True,100,Month_44
DEL_SUP000004_45,SUP000004,ORD_SUP000004_45,2024-09-15,2024-09-15,0,True,100,Month_45
DEL_SUP000004_46,SUP000004,ORD_SUP000004_46,2024-10-15,2024-10-15,0,True,100,Month_46
DEL_SUP000004_47,SUP000004,ORD_SUP000004_47,2024-11-15,2024-11-15,0,True,100,Month_47
DEL_SUP000004_48,SUP000004,ORD_SUP000004_48,2024-12-15,2024-12-15,0,True,100,Month_48
DEL_SUP000004_49,SUP000004,ORD_SUP000004_49,2025-01-15,2025-01-15,0,True,100,Month_49
DEL_SUP000004_50,SUP000004,ORD_SUP000004_50,2025-02-15,2025-02-15,0,True,100,Month_50
DEL_SUP000004_51,SUP000004,ORD_SUP000004_51,2025-03-15,2025-03-15,0,True,100,Month_51
DEL_SUP000004_52,SUP000004,ORD_SUP000004_52,2025-04-15,2025-04-15,0,True,100,Month_52
DEL_SUP000004_53,SUP000004,ORD_SUP000004_53,2025-05-15,2025-05-20,5,False,75,Month_53
DEL_SUP000004_54,SUP000004,ORD_SUP000004_54,2025-06-15,2025-06-15,0,True,100,Month_54
DEL_SUP000004_55,SUP000004,ORD_SUP000004_55,2025-07-15,2025-07-15,0,True,100,Month_55
DEL_SUP000004_56,SUP000004,ORD_SUP000004_56,2025-08-15,2025-08-15,0,True,100,Month_56
DEL_SUP000004_57,SUP000004,ORD_SUP000004_57,2025-09-15,2025-09-15,0,True,100,Month_57
DEL_SUP000004_58,SUP000004,ORD_SUP000004_58,2025-10-15,2025-10-15,0,True,100,Month_58
DEL_SUP000004_59,SUP000004,ORD_SUP000004_59,2025-11-15,2025-11-15,0,True,100,Month_59
DEL_SUP000004_60,SUP000004,ORD_SUP000004_60,2025-12-15,2025-12-15,0,True,100,Month_60
DEL_SUP000005_01,SUP000005,ORD_SUP000005_01,2021-01-15,2021-01-15,0,True,100,Month_01
DEL_SUP000005_02,SUP000005,ORD_SUP000005_02,2021-02-15,2021-02-15,0,True,100,Month_02
DEL_SUP000005_03,SUP000005,ORD_SUP000005_03,2021-03-15,2021-03-15,0,True,100,Month_03
DEL_SUP000005_04,SUP000005,ORD_SUP000005_04,2021-04-15,2021-04-15,0,True,100,Month_04
DEL_SUP000005_05,SUP000005,ORD_SUP000005_05,2021-05-15,2021-05-15,0,True,100,Month_05
DEL_SUP000005_06,SUP000005,ORD_SUP000005_06,2021-06-15,2021-06-15,0,True,100,Month_06
DEL_SUP000005_07,SUP000005,ORD_SUP000005_07,2021-07-15,2021-07-15,0,True,100,Month_07
DEL_SUP000005_08,SUP000005,ORD_SUP000005_08,2021-08-15,2021-08-15,0,True,100,Month_08
DEL_SUP000005_09,SUP000005,ORD_SUP000005_09,2021-09-15,2021-09-15,0,True,100,Month_09
DEL_SUP000005_10,SUP000005,ORD_SUP000005_10,2021-10-15,2021-10-15,0,True,100,Month_10
DEL_SUP000005_11,SUP000005,ORD_SUP000005_11,2021-11-15,2021-11-15,0,True,100,Month_11
DEL_SUP000005_12,SUP000005,ORD_SUP000005_12,2021-12-15,2021-12-15,0,True,100,Month_12
