quality_id,supplier_id,month,inspection_score,defect_rate,return_rate,complaints
QUA_SUP000003_45,SUP000003,Month_45,96.6,0.74,0.65,0
QUA_SUP000003_46,SUP000003,Month_46,96.9,0.48,0.33,0
QUA_SUP000003_47,SUP000003,Month_47,99.6,0.68,0.48,0
QUA_SUP000003_48,SUP000003,Month_48,99.0,0.41,0.25,0
QUA_SUP000003_49,SUP000003,Month_49,99.5,0.23,0.18,0
QUA_SUP000003_50,SUP000003,Month_50,99.7,0.22,0.19,0
QUA_SUP000003_51,SUP000003,Month_51,97.7,0.11,0.07,0
QUA_SUP000003_52,SUP000003,Month_52,98.4,0.64,0.55,0
QUA_SUP000003_53,SUP000003,Month_53,97.1,0.17,0.13,0
QUA_SUP000003_54,SUP000003,Month_54,98.5,0.78,0.65,0
QUA_SUP000003_55,SUP000003,Month_55,98.2,0.76,0.62,0
QUA_SUP000003_56,SUP000003,Month_56,95.8,0.42,0.29,0
QUA_SUP000003_57,SUP000003,Month_57,95.4,0.14,0.12,0
QUA_SUP000003_58,SUP000003,Month_58,97.8,0.5,0.34,0
QUA_SUP000003_59,SUP000003,Month_59,96.3,0.37,0.29,0
QUA_SUP000003_60,SUP000003,Month_60,97.2,0.11,0.09,0
QUA_SUP000004_01,SUP000004,Month_01,88.5,1.76,1.49,0
QUA_SUP000004_02,SUP000004,Month_02,89.5,1.39,1.15,0
QUA_SUP000004_03,SUP000004,Month_03,89.2,0.87,0.63,0
QUA_SUP000004_04,SUP000004,Month_04,90.6,0.63,0.5,0
QUA_SUP000004_05,SUP000004,Month_05,88.4,1.72,1.12,0
QUA_SUP000004_06,SUP000004,Month_06,88.3,0.64,0.42,0
QUA_SUP000004_07,SUP000004,Month_07,88.3,1.33,0.96,0
QUA_SUP000004_08,SUP000004,Month_08,91.9,1.31,1.02,0
QUA_SUP000004_09,SUP000004,Month_09,88.4,0.79,0.64,0
QUA_SUP000004_10,SUP000004,Month_10,88.1,1.7,1.35,0
QUA_SUP000004_11,SUP000004,Month_11,95.4,1.58,1.17,0
QUA_SUP000004_12,SUP000004,Month_12,93.1,0.97,0.8,0
QUA_SUP000004_13,SUP000004,Month_13,95.1,1.57,1.31,0
QUA_SUP000004_14,SUP000004,Month_14,88.5,1.3,0.99,0
QUA_SUP000004_15,SUP000004,Month_15,93.9,1.58,0.99,0
QUA_SUP000004_16,SUP000004,Month_16,89.7,1.18,0.74,0
QUA_SUP000004_17,SUP000004,Month_17,89.8,1.0,0.66,0
QUA_SUP000004_18,SUP000004,Month_18,93.3,1.24,1.1,0
QUA_SUP000004_19,SUP000004,Month_19,92.5,1.23,1.01,0
QUA_SUP000004_20,SUP000004,Month_20,94.1,1.25,1.0,0
QUA_SUP000004_21,SUP000004,Month_21,93.6,1.06,0.67,0
QUA_SUP000004_22,SUP000004,Month_22,94.3,1.21,0.91,0
QUA_SUP000004_23,SUP000004,Month_23,93.3,1.19,0.93,0
QUA_SUP000004_24,SUP000004,Month_24,95.5,1.67,1.28,0
QUA_SUP000004_25,SUP000004,Month_25,96.0,1.6,1.16,0
QUA_SUP000004_26,SUP000004,Month_26,93.1,1.57,1.1,0
QUA_SUP000004_27,SUP000004,Month_27,89.9,1.21,0.86,0
QUA_SUP000004_28,SUP000004,Month_28,92.4,1.47,1.04,0
QUA_SUP000004_29,SUP000004,Month_29,91.6,1.75,1.05,0
QUA_SUP000004_30,SUP000004,Month_30,88.3,0.87,0.53,0
QUA_SUP000004_31,SUP000004,Month_31,89.1,1.66,1.0,0
QUA_SUP000004_32,SUP000004,Month_32,95.9,0.78,0.54,0
QUA_SUP000004_33,SUP000004,Month_33,94.2,1.73,1.46,0
QUA_SUP000004_34,SUP000004,Month_34,95.4,1.16,0.9,0
QUA_SUP000004_35,SUP000004,Month_35,92.6,0.62,0.46,0
QUA_SUP000004_36,SUP000004,Month_36,89.2,0.84,0.73,0
QUA_SUP000004_37,SUP000004,Month_37,90.0,0.83,0.57,0
QUA_SUP000004_38,SUP000004,Month_38,92.6,1.24,0.82,0
QUA_SUP000004_39,SUP000004,Month_39,88.6,0.92,0.69,0
QUA_SUP000004_40,SUP000004,Month_40,91.9,1.67,1.35,0
QUA_SUP000004_41,SUP000004,Month_41,94.6,0.62,0.49,0
QUA_SUP000004_42,SUP000004,Month_42,88.3,1.55,1.11,0
QUA_SUP000004_43,SUP000004,Month_43,94.2,1.7,1.19,0
QUA_SUP000004_44,SUP000004,Month_44,95.0,1.06,0.94,0
QUA_SUP000004_45,SUP000004,Month_45,89.0,1.5,1.24,0
QUA_SUP000004_46,SUP000004,Month_46,94.8,1.71,1.35,0
QUA_SUP000004_47,SUP000004,Month_47,93.1,0.57,0.43,0
QUA_SUP000004_48,SUP000004,Month_48,90.6,1.23,0.86,0
QUA_SUP000004_49,SUP000004,Month_49,93.6,0.7,0.56,0
QUA_SUP000004_50,SUP000004,Month_50,96.0,1.76,1.46,0
QUA_SUP000004_51,SUP000004,Month_51,92.6,0.62,0.45,0
QUA_SUP000004_52,SUP000004,Month_52,94.3,0.69,0.49,0
QUA_SUP000004_53,SUP000004,Month_53,91.8,1.47,1.12,0
QUA_SUP000004_54,SUP000004,Month_54,90.1,1.02,0.74,0
QUA_SUP000004_55,SUP000004,Month_55,93.6,1.49,1.11,0
QUA_SUP000004_56,SUP000004,Month_56,89.6,1.01,0.78,0
QUA_SUP000004_57,SUP000004,Month_57,92.5,1.8,1.36,0
QUA_SUP000004_58,SUP000004,Month_58,89.9,0.85,0.62,0
QUA_SUP000004_59,SUP000004,Month_59,93.5,1.25,0.79,0
QUA_SUP000004_60,SUP000004,Month_60,91.3,0.97,0.64,0
QUA_SUP000005_01,SUP000005,Month_01,89.1,1.16,0.92,0
QUA_SUP000005_02,SUP000005,Month_02,90.2,2.4,2.06,0
QUA_SUP000005_03,SUP000005,Month_03,90.4,2.06,1.38,1
QUA_SUP000005_04,SUP000005,Month_04,85.7,2.05,1.53,0
QUA_SUP000005_05,SUP000005,Month_05,85.2,2.34,1.84,2
QUA_SUP000005_06,SUP000005,Month_06,87.4,1.9,1.15,0
QUA_SUP000005_07,SUP000005,Month_07,91.3,2.34,1.98,0
QUA_SUP000005_08,SUP000005,Month_08,86.0,1.84,1.56,0
QUA_SUP000005_09,SUP000005,Month_09,85.6,2.19,1.39,0
QUA_SUP000005_10,SUP000005,Month_10,90.9,1.85,1.14,0
QUA_SUP000005_11,SUP000005,Month_11,87.0,1.37,1.17,0
QUA_SUP000005_12,SUP000005,Month_12,92.4,1.48,0.94,0
QUA_SUP000005_13,SUP000005,Month_13,91.8,1.73,1.2,0
QUA_SUP000005_14,SUP000005,Month_14,94.6,1.16,0.71,0
QUA_SUP000005_15,SUP000005,Month_15,86.7,0.91,0.62,0
QUA_SUP000005_16,SUP000005,Month_16,92.6,1.09,0.77,0
QUA_SUP000005_17,SUP000005,Month_17,86.7,1.21,0.94,0
QUA_SUP000005_18,SUP000005,Month_18,86.3,2.14,1.69,0
QUA_SUP000005_19,SUP000005,Month_19,88.8,1.07,0.92,0
QUA_SUP000005_20,SUP000005,Month_20,85.8,0.81,0.71,0
QUA_SUP000005_21,SUP000005,Month_21,92.1,1.81,1.24,0
QUA_SUP000005_22,SUP000005,Month_22,91.9,2.15,1.59,0
QUA_SUP000005_23,SUP000005,Month_23,86.3,1.04,0.71,0
QUA_SUP000005_24,SUP000005,Month_24,89.5,1.21,0.79,0
QUA_SUP000005_25,SUP000005,Month_25,91.9,1.81,1.48,0
QUA_SUP000005_26,SUP000005,Month_26,91.1,0.95,0.81,0
QUA_SUP000005_27,SUP000005,Month_27,88.0,1.51,1.16,0
QUA_SUP000005_28,SUP000005,Month_28,86.9,2.48,2.21,0
QUA_SUP000005_29,SUP000005,Month_29,91.2,2.27,2.03,0
QUA_SUP000005_30,SUP000005,Month_30,90.1,1.59,1.25,0
QUA_SUP000005_31,SUP000005,Month_31,87.1,0.89,0.56,0
QUA_SUP000005_32,SUP000005,Month_32,86.5,2.23,1.95,0
QUA_SUP000005_33,SUP000005,Month_33,90.0,1.07,0.94,0
QUA_SUP000005_34,SUP000005,Month_34,85.5,1.42,0.94,0
QUA_SUP000005_35,SUP000005,Month_35,87.5,1.85,1.6,0
QUA_SUP000005_36,SUP000005,Month_36,89.5,0.98,0.6,0
QUA_SUP000005_37,SUP000005,Month_37,90.4,1.07,0.65,0
QUA_SUP000005_38,SUP000005,Month_38,90.1,0.92,0.62,0
QUA_SUP000005_39,SUP000005,Month_39,89.4,1.79,1.3,0
QUA_SUP000005_40,SUP000005,Month_40,92.5,2.33,1.56,0
QUA_SUP000005_41,SUP000005,Month_41,86.1,1.19,0.8,0
QUA_SUP000005_42,SUP000005,Month_42,89.1,1.14,0.99,0
QUA_SUP000005_43,SUP000005,Month_43,85.7,1.79,1.11,0
QUA_SUP000005_44,SUP000005,Month_44,89.4,1.17,0.91,0
QUA_SUP000005_45,SUP000005,Month_45,86.8,1.43,1.06,0
QUA_SUP000005_46,SUP000005,Month_46,86.9,1.41,0.96,0
QUA_SUP000005_47,SUP000005,Month_47,88.4,0.85,0.66,0
QUA_SUP000005_48,SUP000005,Month_48,87.8,0.99,0.73,0
QUA_SUP000005_49,SUP000005,Month_49,89.2,2.09,1.39,0
QUA_SUP000005_50,SUP000005,Month_50,88.0,1.07,0.89,0
QUA_SUP000005_51,SUP000005,Month_51,94.5,2.34,1.81,0
QUA_SUP000005_52,SUP000005,Month_52,90.5,1.19,0.86,0
QUA_SUP000005_53,SUP000005,Month_53,90.2,2.27,1.51,2
QUA_SUP000005_54,SUP000005,Month_54,89.7,1.59,0.96,0
QUA_SUP000005_55,SUP000005,Month_55,89.3,2.28,1.54,0
QUA_SUP000005_56,SUP000005,Month_56,89.3,1.18,1.03,0
QUA_SUP000005_57,SUP000005,Month_57,94.5,2.35,2.05,0
QUA_SUP000005_58,SUP000005,Month_58,89.2,0.88,0.79,0
QUA_SUP000005_59,SUP000005,Month_59,92.3,1.66,1.21,2
QUA_SUP000005_60,SUP000005,Month_60,88.9,2.18,1.76,0
QUA_SUP000006_01,SUP000006,Month_01,97.2,0.36,0.26,0
QUA_SUP000006_02,SUP000006,Month_02,96.7,0.7,0.54,0
QUA_SUP000006_03,SUP000006,Month_03,97.2,0.34,0.25,0
QUA_SUP000006_04,SUP000006,Month_04,97.9,0.66,0.42,0
QUA_SUP000006_05,SUP000006,Month_05,96.6,0.48,0.31,0
QUA_SUP000006_06,SUP000006,Month_06,96.2,0.22,0.14,1
QUA_SUP000006_07,SUP000006,Month_07,97.7,0.63,0.52,0
QUA_SUP000006_08,SUP000006,Month_08,97.9,0.35,0.3,0
QUA_SUP000006_09,SUP000006,Month_09,97.2,0.6,0.4,0
QUA_SUP000006_10,SUP000006,Month_10,96.6,0.66,0.46,0
QUA_SUP000006_11,SUP000006,Month_11,98.0,0.6,0.39,0
QUA_SUP000006_12,SUP000006,Month_12,97.7,0.54,0.45,0
QUA_SUP000006_13,SUP000006,Month_13,96.1,0.28,0.19,0
QUA_SUP000006_14,SUP000006,Month_14,96.1,0.34,0.27,0
QUA_SUP000006_15,SUP000006,Month_15,96.9,0.72,0.63,0
QUA_SUP000006_16,SUP000006,Month_16,96.1,0.39,0.31,0
QUA_SUP000006_17,SUP000006,Month_17,97.0,0.46,0.39,0
QUA_SUP000006_18,SUP000006,Month_18,97.7,0.26,0.17,0
QUA_SUP000006_19,SUP000006,Month_19,97.7,0.29,0.19,0
QUA_SUP000006_20,SUP000006,Month_20,97.0,0.34,0.3,1
QUA_SUP000006_21,SUP000006,Month_21,97.2,0.5,0.45,0
QUA_SUP000006_22,SUP000006,Month_22,97.1,0.5,0.36,0
QUA_SUP000006_23,SUP000006,Month_23,96.2,0.6,0.48,0
QUA_SUP000006_24,SUP000006,Month_24,97.8,0.21,0.17,0
QUA_SUP000006_25,SUP000006,Month_25,97.4,0.4,0.31,0
QUA_SUP000006_26,SUP000006,Month_26,97.9,0.64,0.41,0
QUA_SUP000006_27,SUP000006,Month_27,96.2,0.63,0.5,0
QUA_SUP000006_28,SUP000006,Month_28,96.9,0.7,0.54,0
QUA_SUP000006_29,SUP000006,Month_29,96.0,0.7,0.56,0
QUA_SUP000006_30,SUP000006,Month_30,97.9,0.37,0.3,0
QUA_SUP000006_31,SUP000006,Month_31,97.5,0.7,0.54,0
QUA_SUP000006_32,SUP000006,Month_32,96.4,0.23,0.18,0
QUA_SUP000006_33,SUP000006,Month_33,96.6,0.23,0.14,0
QUA_SUP000006_34,SUP000006,Month_34,97.9,0.4,0.29,0
QUA_SUP000006_35,SUP000006,Month_35,96.4,0.7,0.6,0
QUA_SUP000006_36,SUP000006,Month_36,96.2,0.64,0.42,0
QUA_SUP000006_37,SUP000006,Month_37,97.6,0.35,0.29,2
QUA_SUP000006_38,SUP000006,Month_38,97.3,0.26,0.2,0
QUA_SUP000006_39,SUP000006,Month_39,96.9,0.62,0.43,0
QUA_SUP000006_40,SUP000006,Month_40,97.4,0.27,0.21,0
QUA_SUP000006_41,SUP000006,Month_41,97.7,0.47,0.35,0
QUA_SUP000006_42,SUP000006,Month_42,97.8,0.45,0.34,0
QUA_SUP000006_43,SUP000006,Month_43,96.8,0.59,0.5,0
QUA_SUP000006_44,SUP000006,Month_44,97.2,0.43,0.31,0
QUA_SUP000006_45,SUP000006,Month_45,96.1,0.38,0.28,0
QUA_SUP000006_46,SUP000006,Month_46,96.4,0.56,0.36,0
QUA_SUP000006_47,SUP000006,Month_47,97.0,0.53,0.4,0
QUA_SUP000006_48,SUP000006,Month_48,96.6,0.43,0.37,0
QUA_SUP000006_49,SUP000006,Month_49,97.0,0.28,0.18,0
QUA_SUP000006_50,SUP000006,Month_50,97.8,0.64,0.48,0
QUA_SUP000006_51,SUP000006,Month_51,96.6,0.22,0.14,0
QUA_SUP000006_52,SUP000006,Month_52,96.1,0.26,0.19,0
QUA_SUP000006_53,SUP000006,Month_53,96.2,0.54,0.42,0
QUA_SUP000006_54,SUP000006,Month_54,96.5,0.33,0.21,0
QUA_SUP000006_55,SUP000006,Month_55,97.0,0.26,0.21,0
QUA_SUP000006_56,SUP000006,Month_56,96.4,0.29,0.21,0
QUA_SUP000006_57,SUP000006,Month_57,96.2,0.66,0.45,0
QUA_SUP000006_58,SUP000006,Month_58,97.2,0.44,0.35,0
QUA_SUP000006_59,SUP000006,Month_59,97.2,0.34,0.3,0
QUA_SUP000006_60,SUP000006,Month_60,97.7,0.3,0.19,0
QUA_SUP000007_01,SUP000007,Month_01,96.1,0.3,0.2,0
QUA_SUP000007_02,SUP000007,Month_02,96.7,0.36,0.3,0
QUA_SUP000007_03,SUP000007,Month_03,97.4,0.34,0.28,0
QUA_SUP000007_04,SUP000007,Month_04,98.0,0.72,0.59,1
QUA_SUP000007_05,SUP000007,Month_05,97.5,0.67,0.41,0
QUA_SUP000007_06,SUP000007,Month_06,96.6,0.63,0.52,0
QUA_SUP000007_07,SUP000007,Month_07,96.8,0.41,0.32,0
QUA_SUP000007_08,SUP000007,Month_08,97.3,0.45,0.34,0
QUA_SUP000007_09,SUP000007,Month_09,97.5,0.28,0.2,0
QUA_SUP000007_10,SUP000007,Month_10,96.5,0.59,0.44,0
QUA_SUP000007_11,SUP000007,Month_11,97.0,0.61,0.5,0
QUA_SUP000007_12,SUP000007,Month_12,97.4,0.44,0.37,0
QUA_SUP000007_13,SUP000007,Month_13,96.6,0.3,0.25,0
QUA_SUP000007_14,SUP000007,Month_14,97.4,0.31,0.23,0
QUA_SUP000007_15,SUP000007,Month_15,97.1,0.39,0.31,0
QUA_SUP000007_16,SUP000007,Month_16,96.3,0.69,0.42,0
