record_id,supplier_id,month,revenue,expenses,cash_flow,profit_margin,current_ratio,debt_ratio,working_capital
REC_SUP000001_49,SUP000001,Month_49,4954404.32,4862542.51,92831.63,0.0185,1.04,0.59,17189.44
REC_SUP000001_50,SUP000001,Month_50,4886503.19,4953644.88,-58554.62,-0.0137,1.06,0.59,23798.07
REC_SUP000001_51,SUP000001,Month_51,4751681.02,4881619.04,-111100.41,-0.0273,1.07,0.58,28173.45
REC_SUP000001_52,SUP000001,Month_52,4545173.27,4422056.02,139620.87,0.0271,1.05,0.59,18728.88
REC_SUP000001_53,SUP000001,Month_53,4513983.16,4393772.36,102470.05,0.0266,1.03,0.59,12567.94
REC_SUP000001_54,SUP000001,Month_54,4764758.01,4635586.46,145139.41,0.0271,1.03,0.58,11516.52
REC_SUP000001_55,SUP000001,Month_55,4688751.68,4606059.48,74010.51,0.0176,1.02,0.58,7161.91
REC_SUP000001_56,SUP000001,Month_56,4826304.31,4850953.23,-24984.25,-0.0051,1.03,0.58,11702.77
REC_SUP000001_57,SUP000001,Month_57,4787248.07,4626820.97,151946.34,0.0335,1.05,0.59,18836.42
REC_SUP000001_58,SUP000001,Month_58,4825171.19,4930470.07,-100323.39,-0.0218,1.06,0.59,26093.45
REC_SUP000001_59,SUP000001,Month_59,4968481.75,4818801.66,128030.28,0.0301,1.07,0.59,28577.51
REC_SUP000001_60,SUP000001,Month_60,4748343.31,4722445.5,21780.99,0.0055,1.08,0.6,32504.05
REC_SUP000002_01,SUP000002,Month_01,15542162.1,11472936.78,3818332.35,0.2618,2.61,0.33,2083190.66
REC_SUP000002_02,SUP000002,Month_02,15489184.42,11759771.22,3899273.41,0.2408,2.67,0.33,2151279.12
REC_SUP000002_03,SUP000002,Month_03,16400105.69,12380137.33,4475910.18,0.2451,2.65,0.33,2251194.9
REC_SUP000002_04,SUP000002,Month_04,17072256.58,13550010.19,3079482.89,0.2063,2.64,0.33,2338857.98
REC_SUP000002_05,SUP000002,Month_05,16992368.91,13690634.01,2966872.66,0.1943,2.63,0.32,2306551.63
REC_SUP000002_06,SUP000002,Month_06,16292884.22,11933176.54,3756807.0,0.2676,2.62,0.31,2204476.71
REC_SUP000002_07,SUP000002,Month_07,16450131.39,11655838.74,4688311.68,0.2914,2.59,0.32,2181387.43
REC_SUP000002_08,SUP000002,Month_08,16895288.77,13268766.95,3709184.81,0.2146,2.56,0.31,2195569.11
REC_SUP000002_09,SUP000002,Month_09,17355574.47,13309417.83,4203025.41,0.2331,2.61,0.32,2322473.67
REC_SUP000002_10,SUP000002,Month_10,17995548.92,14179205.68,4242505.29,0.2121,2.62,0.32,2431391.06
REC_SUP000002_11,SUP000002,Month_11,19590707.76,15938776.93,3682759.75,0.1864,2.6,0.32,2605640.52
REC_SUP000002_12,SUP000002,Month_12,18450577.11,14940151.5,3013257.82,0.1903,2.58,0.31,2432499.68
REC_SUP000002_13,SUP000002,Month_13,18160676.05,13304511.39,4586404.54,0.2674,2.61,0.32,2442779.02
REC_SUP000002_14,SUP000002,Month_14,18316974.62,13875102.44,4367002.89,0.2425,2.57,0.31,2399344.99
REC_SUP000002_15,SUP000002,Month_15,18985047.48,13740579.84,4992502.34,0.2762,2.57,0.31,2491674.89
REC_SUP000002_16,SUP000002,Month_16,19536330.17,14192552.19,5666620.95,0.2735,2.56,0.31,2545552.25
REC_SUP000002_17,SUP000002,Month_17,19392954.18,14461445.31,4890103.42,0.2543,2.56,0.3,2524819.71
REC_SUP000002_18,SUP000002,Month_18,18712906.59,13843225.3,5128558.35,0.2602,2.6,0.31,2495635.98
REC_SUP000002_19,SUP000002,Month_19,19236621.31,15542323.95,4116727.75,0.192,2.65,0.31,2652428.46
REC_SUP000002_20,SUP000002,Month_20,19611233.72,13735909.33,5123111.81,0.2996,2.61,0.31,2637496.76
REC_SUP000002_21,SUP000002,Month_21,20791735.25,14732062.24,5355898.7,0.2914,2.66,0.31,2872467.69
REC_SUP000002_22,SUP000002,Month_22,20817628.5,15047644.1,6450947.86,0.2772,2.63,0.31,2825982.93
REC_SUP000002_23,SUP000002,Month_23,21675651.48,17602747.73,3509447.22,0.1879,2.63,0.31,2936072.14
REC_SUP000002_24,SUP000002,Month_24,21502449.78,16348525.91,5323475.64,0.2397,2.68,0.3,3009124.6
REC_SUP000002_25,SUP000002,Month_25,21659668.03,17051679.71,3754156.04,0.2127,2.71,0.31,3087422.11
REC_SUP000002_26,SUP000002,Month_26,21516380.73,16372395.22,5996655.11,0.2391,2.69,0.3,3035429.89
REC_SUP000002_27,SUP000002,Month_27,22240901.25,18349838.36,4066437.61,0.175,2.72,0.3,3184441.1
REC_SUP000002_28,SUP000002,Month_28,22814211.12,16083524.45,6277298.73,0.295,2.69,0.3,3203549.3
REC_SUP000002_29,SUP000002,Month_29,21682985.95,17708491.12,4366941.27,0.1833,2.71,0.3,3098469.24
REC_SUP000002_30,SUP000002,Month_30,21443354.58,17023494.61,4354557.79,0.2061,2.75,0.3,3118524.84
REC_SUP000002_31,SUP000002,Month_31,21939960.12,15365532.4,6529119.61,0.2997,2.8,0.3,3293122.16
REC_SUP000002_32,SUP000002,Month_32,22449898.8,16282964.1,6734664.5,0.2747,2.79,0.29,3355502.92
REC_SUP000002_33,SUP000002,Month_33,24049092.2,18561877.58,5154251.09,0.2282,2.83,0.29,3664260.03
REC_SUP000002_34,SUP000002,Month_34,24564526.79,20632331.89,3216036.91,0.1601,2.78,0.29,3652929.37
REC_SUP000002_35,SUP000002,Month_35,25048156.83,20880033.27,4668381.97,0.1664,2.82,0.29,3801540.51
REC_SUP000002_36,SUP000002,Month_36,24887277.84,19093854.45,5401763.99,0.2328,2.83,0.29,3789162.91
REC_SUP000002_37,SUP000002,Month_37,24863326.98,18785137.42,5315709.67,0.2445,2.83,0.29,3781994.13
REC_SUP000002_38,SUP000002,Month_38,24694065.5,17718866.01,6834509.74,0.2825,2.78,0.29,3661788.35
REC_SUP000002_39,SUP000002,Month_39,24953386.49,20168531.6,5174839.22,0.1918,2.8,0.29,3738788.58
REC_SUP000002_40,SUP000002,Month_40,26538543.89,20420524.42,5789587.13,0.2305,2.76,0.28,3902866.7
REC_SUP000002_41,SUP000002,Month_41,25874715.75,20093719.57,6858380.56,0.2234,2.76,0.28,3800001.05
REC_SUP000002_42,SUP000002,Month_42,24978022.44,20803325.38,3927529.82,0.1671,2.74,0.28,3613552.86
REC_SUP000002_43,SUP000002,Month_43,26102187.07,19052194.96,8230675.66,0.2701,2.76,0.28,3838435.03
REC_SUP000002_44,SUP000002,Month_44,26241618.23,21366295.33,4128323.78,0.1858,2.73,0.27,3793824.7
REC_SUP000002_45,SUP000002,Month_45,27075796.14,20592121.14,6677682.23,0.2395,2.74,0.27,3933196.76
REC_SUP000002_46,SUP000002,Month_46,28462029.88,20268547.24,9605039.24,0.2879,2.72,0.27,4071132.21
REC_SUP000002_47,SUP000002,Month_47,28779960.59,23655263.04,5825725.87,0.1781,2.77,0.27,4235155.79
REC_SUP000002_48,SUP000002,Month_48,29438905.8,22883116.48,5756319.97,0.2227,2.78,0.26,4373098.4
REC_SUP000002_49,SUP000002,Month_49,28417312.55,22410740.87,5986692.04,0.2114,2.79,0.26,4230102.9
REC_SUP000002_50,SUP000002,Month_50,27506528.4,21047729.54,7223212.91,0.2348,2.74,0.26,3997979.63
REC_SUP000002_51,SUP000002,Month_51,28783223.82,23219410.92,6188607.27,0.1933,2.78,0.26,4278834.58
REC_SUP000002_52,SUP000002,Month_52,30044402.1,23235712.75,7006724.32,0.2266,2.8,0.25,4503256.42
REC_SUP000002_53,SUP000002,Month_53,30394889.59,23364353.85,7752673.68,0.2313,2.8,0.25,4564509.3
REC_SUP000002_54,SUP000002,Month_54,28491417.08,22400715.59,6665636.17,0.2138,2.78,0.25,4235258.57
REC_SUP000002_55,SUP000002,Month_55,30449425.05,25734801.74,4267328.56,0.1548,2.75,0.26,4434874.55
REC_SUP000002_56,SUP000002,Month_56,31264069.39,26023964.25,5893837.42,0.1676,2.78,0.25,4647162.53
REC_SUP000002_57,SUP000002,Month_57,31779105.84,22907736.32,9262638.8,0.2792,2.81,0.25,4784326.97
REC_SUP000002_58,SUP000002,Month_58,33296332.02,24238748.14,10164205.03,0.272,2.82,0.25,5050643.05
REC_SUP000002_59,SUP000002,Month_59,33797771.02,27874488.43,7058183.91,0.1753,2.84,0.25,5178215.23
REC_SUP000002_60,SUP000002,Month_60,33937465.82,26228154.79,8943279.67,0.2272,2.81,0.25,5111304.49
REC_SUP000003_01,SUP000003,Month_01,56836196.1,43880201.81,15117893.23,0.228,2.49,0.26,7043672.39
REC_SUP000003_02,SUP000003,Month_02,57157176.69,41881758.37,12907843.61,0.2673,2.5,0.26,7138805.76
REC_SUP000003_03,SUP000003,Month_03,58373183.73,41169161.76,14452782.28,0.2947,2.53,0.25,7451016.27
REC_SUP000003_04,SUP000003,Month_04,58610354.26,42192346.21,18914437.0,0.2801,2.51,0.25,7389467.78
REC_SUP000003_05,SUP000003,Month_05,57681796.31,44080227.66,13454925.33,0.2358,2.51,0.25,7249782.78
REC_SUP000003_06,SUP000003,Month_06,57072769.9,42683473.03,13823624.24,0.2521,2.55,0.25,7378029.16
REC_SUP000003_07,SUP000003,Month_07,57702320.22,48620341.64,8991951.44,0.1574,2.54,0.25,7421462.74
REC_SUP000003_08,SUP000003,Month_08,57739601.53,42204888.25,14359973.9,0.269,2.58,0.25,7626203.54
REC_SUP000003_09,SUP000003,Month_09,60238489.76,42415456.94,15883583.24,0.2959,2.62,0.24,8108825.71
REC_SUP000003_10,SUP000003,Month_10,61863706.69,49606635.18,13378835.81,0.1981,2.58,0.25,8133180.51
REC_SUP000003_11,SUP000003,Month_11,61945464.03,44166191.57,17119095.07,0.287,2.58,0.24,8179441.92
REC_SUP000003_12,SUP000003,Month_12,61214199.74,51515980.63,10828994.19,0.1584,2.61,0.24,8219887.96
REC_SUP000003_13,SUP000003,Month_13,59935840.98,43928328.54,16163017.21,0.2671,2.58,0.24,7904214.19
REC_SUP000003_14,SUP000003,Month_14,62985979.1,51641636.36,9336972.71,0.1801,2.54,0.23,8089998.83
REC_SUP000003_15,SUP000003,Month_15,62401059.19,51177201.21,10632818.27,0.1799,2.54,0.23,7986941.92
REC_SUP000003_16,SUP000003,Month_16,64011728.42,47869496.93,14475953.48,0.2522,2.54,0.23,8191108.93
REC_SUP000003_17,SUP000003,Month_17,63627158.49,49553636.34,14362500.65,0.2212,2.57,0.23,8350484.74
REC_SUP000003_18,SUP000003,Month_18,60506937.18,43889884.94,13894460.7,0.2746,2.53,0.22,7733186.35
REC_SUP000003_19,SUP000003,Month_19,63119216.8,46267994.18,14925590.19,0.267,2.51,0.22,7947287.94
REC_SUP000003_20,SUP000003,Month_20,62056976.24,46683098.86,15455551.0,0.2477,2.56,0.22,8082258.01
REC_SUP000003_21,SUP000003,Month_21,65250969.32,50823028.58,12305960.54,0.2211,2.6,0.22,8693948.61
REC_SUP000003_22,SUP000003,Month_22,64844989.76,49201033.37,18416096.55,0.2413,2.63,0.22,8785679.55
REC_SUP000003_23,SUP000003,Month_23,66438411.93,47548480.12,21546507.34,0.2843,2.6,0.22,8866905.06
REC_SUP000003_24,SUP000003,Month_24,66030569.35,50969281.42,15805954.73,0.2281,2.56,0.22,8559137.93
REC_SUP000003_25,SUP000003,Month_25,67269086.12,47426534.21,22536205.47,0.295,2.57,0.22,8802190.45
REC_SUP000003_26,SUP000003,Month_26,65865355.53,49223685.02,16520109.22,0.2527,2.55,0.22,8520722.69
REC_SUP000003_27,SUP000003,Month_27,67459986.11,54539190.16,13727671.77,0.1915,2.57,0.22,8842771.63
REC_SUP000003_28,SUP000003,Month_28,66367674.99,51262787.86,13535804.01,0.2276,2.61,0.22,8931563.4
REC_SUP000003_29,SUP000003,Month_29,68326771.91,53936144.97,13352117.2,0.2106,2.57,0.21,8942501.08
REC_SUP000003_30,SUP000003,Month_30,66504754.52,53580174.31,15028244.67,0.1943,2.6,0.21,8867557.17
REC_SUP000003_31,SUP000003,Month_31,67294199.2,47158895.97,22680523.96,0.2992,2.63,0.21,9126552.8
REC_SUP000003_32,SUP000003,Month_32,69200603.49,52194760.12,16840786.03,0.2457,2.62,0.21,9329779.5
REC_SUP000003_33,SUP000003,Month_33,69088913.98,56963947.78,12889395.29,0.1755,2.6,0.21,9220674.61
REC_SUP000003_34,SUP000003,Month_34,71310560.92,52688675.52,20299245.3,0.2611,2.65,0.21,9803396.92
REC_SUP000003_35,SUP000003,Month_35,74917932.08,53570915.88,22665703.74,0.2849,2.63,0.21,10149477.07
REC_SUP000003_36,SUP000003,Month_36,74009106.95,58239921.02,18209269.08,0.2131,2.64,0.21,10114314.0
REC_SUP000003_37,SUP000003,Month_37,70603893.28,58765934.72,9724537.07,0.1677,2.65,0.21,9730048.73
REC_SUP000003_38,SUP000003,Month_38,72823429.27,56741616.38,14116897.14,0.2208,2.68,0.2,10184681.04
REC_SUP000003_39,SUP000003,Month_39,73992025.87,58308225.6,18010329.85,0.212,2.74,0.2,10706516.73
REC_SUP000003_40,SUP000003,Month_40,72579875.38,50945357.58,25034123.72,0.2981,2.7,0.2,10299235.96
REC_SUP000003_41,SUP000003,Month_41,74252261.23,61105637.36,10942258.28,0.1771,2.76,0.2,10895695.36
REC_SUP000003_42,SUP000003,Month_42,71254614.68,59946362.1,11091374.9,0.1587,2.8,0.2,10668131.65
REC_SUP000003_43,SUP000003,Month_43,72875905.54,60212604.32,14107985.87,0.1738,2.76,0.2,10693222.42
REC_SUP000003_44,SUP000003,Month_44,73846902.77,58013280.64,15384108.43,0.2144,2.71,0.2,10533209.49
REC_SUP000003_45,SUP000003,Month_45,75911389.38,56204879.2,23254222.89,0.2596,2.74,0.2,11038373.28
REC_SUP000003_46,SUP000003,Month_46,77536299.79,65697482.31,9490582.51,0.1527,2.72,0.2,11116084.69
REC_SUP000003_47,SUP000003,Month_47,80832974.89,64923926.78,13380834.52,0.1968,2.7,0.2,11483412.46
REC_SUP000003_48,SUP000003,Month_48,76386405.89,64404605.92,14131159.35,0.1569,2.71,0.2,10900277.04
REC_SUP000003_49,SUP000003,Month_49,76768532.58,60259476.19,17742482.03,0.215,2.77,0.2,11334028.16
REC_SUP000003_50,SUP000003,Month_50,78282327.16,57731859.07,17795747.78,0.2625,2.81,0.2,11819503.19
REC_SUP000003_51,SUP000003,Month_51,77709574.92,63438351.01,17039153.61,0.1836,2.76,0.2,11421389.06
REC_SUP000003_52,SUP000003,Month_52,79403075.11,66025697.83,14507017.01,0.1685,2.76,0.2,11615733.03
REC_SUP000003_53,SUP000003,Month_53,79394447.1,58300338.94,22133075.48,0.2657,2.71,0.2,11321454.34
REC_SUP000003_54,SUP000003,Month_54,76234234.36,55237953.89,17202127.08,0.2754,2.71,0.19,10867051.27
REC_SUP000003_55,SUP000003,Month_55,76817720.01,62382845.1,15600451.89,0.1879,2.74,0.19,11113999.56
REC_SUP000003_56,SUP000003,Month_56,77958939.66,61343494.84,13963485.89,0.2131,2.76,0.19,11402132.97
REC_SUP000003_57,SUP000003,Month_57,83063074.54,65385270.16,20496508.54,0.2128,2.77,0.19,12276747.42
REC_SUP000003_58,SUP000003,Month_58,82752098.98,60598202.73,22133860.82,0.2677,2.81,0.19,12481866.82
REC_SUP000003_59,SUP000003,Month_59,87339201.03,61489596.02,24380539.25,0.296,2.78,0.19,12937003.25
REC_SUP000003_60,SUP000003,Month_60,85217317.49,60797997.4,26257644.75,0.2866,2.75,0.19,12452858.96
REC_SUP000004_01,SUP000004,Month_01,3005602.91,2436912.05,474019.2,0.1892,1.49,0.55,123658.57
REC_SUP000004_02,SUP000004,Month_02,2955641.63,2717250.41,261624.42,0.0807,1.51,0.53,125161.4
REC_SUP000004_03,SUP000004,Month_03,3137630.54,2745415.47,345999.38,0.125,1.52,0.53,134888.64
REC_SUP000004_04,SUP000004,Month_04,3149393.88,2736418.3,427077.9,0.1311,1.53,0.52,139458.13
REC_SUP000004_05,SUP000004,Month_05,3332710.62,2821387.22,611910.66,0.1534,1.53,0.51,146264.81
REC_SUP000004_06,SUP000004,Month_06,3427564.22,2924029.26,438824.6,0.1469,1.54,0.5,153968.82
REC_SUP000004_07,SUP000004,Month_07,3619850.72,3079341.35,599791.25,0.1493,1.53,0.49,159956.96
REC_SUP000004_08,SUP000004,Month_08,3754076.81,3400103.81,315711.53,0.0943,1.57,0.49,178689.49
REC_SUP000004_09,SUP000004,Month_09,3745133.38,3217064.99,588496.56,0.141,1.59,0.49,184800.92
REC_SUP000004_10,SUP000004,Month_10,4051224.02,3701820.79,333904.21,0.0862,1.63,0.48,211162.87
REC_SUP000004_11,SUP000004,Month_11,4264320.73,3681813.5,605864.71,0.1366,1.62,0.47,221862.34
REC_SUP000004_12,SUP000004,Month_12,4151203.39,3515722.79,692545.4,0.1531,1.63,0.47,218672.1
REC_SUP000004_13,SUP000004,Month_13,4219689.75,3737057.21,572118.36,0.1144,1.66,0.46,233594.38
REC_SUP000004_14,SUP000004,Month_14,4155614.14,3576636.5,465662.54,0.1393,1.71,0.46,245032.7
REC_SUP000004_15,SUP000004,Month_15,4433341.96,3975069.26,510325.04,0.1034,1.74,0.45,271949.21
REC_SUP000004_16,SUP000004,Month_16,4589485.35,3851115.52,696944.33,0.1609,1.78,0.44,299983.53
REC_SUP000004_17,SUP000004,Month_17,4574940.02,4057457.46,496666.03,0.1131,1.79,0.44,302426.26
REC_SUP000004_18,SUP000004,Month_18,4741557.31,4353489.37,419675.59,0.0818,1.81,0.44,321060.47
REC_SUP000004_19,SUP000004,Month_19,5036960.94,4296055.9,765483.06,0.1471,1.85,0.43,357337.25
REC_SUP000004_20,SUP000004,Month_20,5106279.21,4107660.24,980547.57,0.1956,1.83,0.43,353554.96
REC_SUP000004_21,SUP000004,Month_21,5316549.37,4568252.64,765846.0,0.1407,1.84,0.42,370035.5
REC_SUP000004_22,SUP000004,Month_22,5531951.48,4748658.12,707374.5,0.1416,1.87,0.41,402376.1
REC_SUP000004_23,SUP000004,Month_23,5822620.59,5047442.08,737064.61,0.1331,1.87,0.41,422156.44
REC_SUP000004_24,SUP000004,Month_24,5854985.96,4841652.67,1086939.66,0.1731,1.91,0.41,445717.88
REC_SUP000004_25,SUP000004,Month_25,5901074.97,5246419.32,623932.2,0.1109,1.91,0.41,446954.55
REC_SUP000004_26,SUP000004,Month_26,6061254.25,4994356.11,1029525.11,0.176,1.93,0.4,468917.98
REC_SUP000004_27,SUP000004,Month_27,6333318.65,5626507.86,646672.39,0.1116,1.96,0.39,509019.76
REC_SUP000004_28,SUP000004,Month_28,6379800.34,5444864.97,814697.35,0.1465,1.96,0.38,510158.08
REC_SUP000004_29,SUP000004,Month_29,6658476.08,5979750.09,745555.06,0.1019,1.95,0.38,528502.94
REC_SUP000004_30,SUP000004,Month_30,6920024.45,6171392.92,671389.68,0.1082,1.95,0.37,546941.82
REC_SUP000004_31,SUP000004,Month_31,7163546.37,5871527.96,1217612.29,0.1804,1.94,0.37,558704.84
REC_SUP000004_32,SUP000004,Month_32,7150596.23,5758421.18,1388090.33,0.1947,1.98,0.36,584289.26
REC_SUP000004_33,SUP000004,Month_33,7872738.48,6441779.52,1357233.97,0.1818,2.03,0.35,675384.78
REC_SUP000004_34,SUP000004,Month_34,8183928.64,6964995.28,1109099.2,0.1489,2.07,0.34,728850.22
REC_SUP000004_35,SUP000004,Month_35,8358721.06,7290931.73,1174640.61,0.1277,2.09,0.33,758538.19
REC_SUP000004_36,SUP000004,Month_36,8315511.36,6712625.61,1303186.28,0.1928,2.14,0.33,788180.94
REC_SUP000004_37,SUP000004,Month_37,8486000.48,7341548.55,970663.78,0.1349,2.14,0.32,806451.26
REC_SUP000004_38,SUP000004,Month_38,8213359.47,6891892.62,1257734.09,0.1609,2.15,0.31,785279.69
REC_SUP000004_39,SUP000004,Month_39,9035015.7,8109303.41,837898.86,0.1025,2.21,0.3,907670.77
REC_SUP000004_40,SUP000004,Month_40,9015865.27,8095619.14,892249.62,0.1021,2.25,0.3,936996.12
REC_SUP000004_41,SUP000004,Month_41,9291793.17,8101782.89,1166557.08,0.1281,2.31,0.29,1014289.99
REC_SUP000004_42,SUP000004,Month_42,9749089.51,8016648.23,1885461.21,0.1777,2.34,0.29,1084821.12
REC_SUP000004_43,SUP000004,Month_43,10135492.72,9086189.63,1175235.18,0.1035,2.35,0.29,1142985.45
REC_SUP000004_44,SUP000004,Month_44,10061710.77,8747827.62,1121778.55,0.1306,2.39,0.29,1162281.86
REC_SUP000004_45,SUP000004,Month_45,10849470.0,9570455.61,1272169.21,0.1179,2.44,0.29,1303138.53
REC_SUP000004_46,SUP000004,Month_46,10999393.72,9988802.68,874501.56,0.0919,2.44,0.28,1318778.2
REC_SUP000004_47,SUP000004,Month_47,12043848.88,10941159.52,1210573.49,0.0916,2.45,0.27,1451793.55
REC_SUP000004_48,SUP000004,Month_48,11845741.68,9746653.68,1968222.69,0.1772,2.45,0.27,1434709.05
REC_SUP000004_49,SUP000004,Month_49,11923351.53,10103023.9,1876287.24,0.1527,2.48,0.26,1469236.48
REC_SUP000004_50,SUP000004,Month_50,12302953.27,10898533.66,1306160.96,0.1142,2.53,0.26,1566227.79
REC_SUP000004_51,SUP000004,Month_51,12456248.3,11342548.81,1164334.4,0.0894,2.6,0.26,1656674.06
REC_SUP000004_52,SUP000004,Month_52,13145529.19,11083394.26,2415639.85,0.1569,2.63,0.25,1786064.66
REC_SUP000004_53,SUP000004,Month_53,13161711.68,10676138.67,2067113.8,0.1888,2.63,0.25,1792041.61
REC_SUP000004_54,SUP000004,Month_54,13749412.37,11477294.23,2367896.99,0.1653,2.7,0.24,1945327.56
REC_SUP000004_55,SUP000004,Month_55,14259028.51,11511992.73,3019426.9,0.1927,2.72,0.24,2039170.77
REC_SUP000004_56,SUP000004,Month_56,14356651.31,11736484.61,2227183.52,0.1825,2.71,0.23,2049349.88
REC_SUP000004_57,SUP000004,Month_57,15524012.75,12885415.42,2333123.21,0.17,2.69,0.23,2189987.77
REC_SUP000004_58,SUP000004,Month_58,16395466.87,14152857.28,1842371.45,0.1368,2.72,0.23,2348722.0
